id,date,current_id,current_latitude,current_longitude,duration,distance,next_id,next_latitude,next_longitude
DD-059BD1DD606F4DDE903D-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,17 dk.,"8,4 km",MG-QI7EFZUASU1CI2X7OP2Z,40.877133,29.23435
DD-FF5B57EBE6CE4F4A8F56-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,31 dk.,"15,3 km",MG-VVESJOL8ESQXP6VK308G,40.9193435,29.3015336
DD-82DBB853BCC2485B85D1-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,42 dk.,"38,7 km",MG-UK1XOQD21BHA8OJA9NQV,41.1366471,29.090461
DD-EDE31A9667314D139828-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,33 dk.,"30,3 km",MG-QIZRDDGRTCPLIL0OQILI,41.095094,29.087229
DD-716A1F708DCA410B96C4-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,23 dk.,"13,5 km",MG-PLAUD8AN0LPMGFUJWAIO,40.9497961,29.173943
DD-35208E68C3F84FD4B8DF-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,29 dk.,"15,1 km",MG-OQKXLDBMXGBBSWW0MYXC,40.9688014,29.061672
DD-ECEA20394B3A42598CFD-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,25 dk.,"13,9 km",MG-NJ56INKIZI4WVHA0SBRH,40.9680529,29.0663491
DD-B11C6FD0002E4E65BDCD-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,33 dk.,"27,0 km",MG-LJ99NJO1WVXRTWLTYJSS,41.034379,29.181869
DD-0BAE5F20FB4545CEAB9D-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,28 dk.,"22,5 km",MG-VCPWSHSGQKT0FTISJRDN,41.0209485,29.0394974
DD-F32E29EF3FF947139BC0-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,29 dk.,"23,5 km",MG-W3FTCGZLAAICT9DQCBSM,41.0326174,29.1135949
DD-9948899B797743D9BDA8-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,11 dk.,"5,0 km",MG-RCSKVKLO3QBCFEDUVI8R,40.922615,29.173975
DD-5749BEA218BE4CE6A20C-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,19 dk.,"15,7 km",MG-ZWI9E420TRNGRORREXG7,40.9899141,29.0844299
DD-F1EDDD84351F4680A8F5-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,25 dk.,"19,1 km",MG-XNG4VMYICFBH7V9KRD9P,40.9939749,29.1226758
DD-62A2709427ED4DAFB158-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,28 dk.,"22,7 km",MG-XSDFXJ93QHQOX0UBNDQN,41.0264167,29.1276244
DD-78F32C14441A43F68F85-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,29 dk.,"22,2 km",MG-ZEYXNPOOQRFFM17CVHT4,40.9892774,29.0288635
DD-91D51B5F7F0049D69A4B-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,18 dk.,"8,8 km",MG-XS93CUGR22QDXP1C5RX3,40.8795759,29.2319681
DD-D3C87C7AD3184BE6A58F-2024-3-4,2024-3-4,MG-OFSTOW3XC0I7KLN25IWP,40.899417,29.168842,23 dk.,"12,9 km",MG-FUHNVEMA2ZKC0HFBTCUT,40.96255,29.075716
